block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292311999,DMkqdBoreKN7EvMEWbLes6juywFLv4is9AdZb73RYQ1u,2024-09-27 13:26:23.000000 UTC,,8477999,11468452155,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312005,GAjGqq1Bbivv5epzMG6WhA8NErcZZhymHUEpxesbAshm,2024-09-27 13:26:27.000000 UTC,,9799905,11478222060,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312008,BJwT47xAgbor4G6Nkr2ApARscpUkhJd1y2Jr5yANidbc,2024-09-27 13:26:28.000000 UTC,,39518672,33687802503,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,Fee
292312015,GBs8FpNVZediteJyLLjLD7ejPGi9hNwfbPTFLPKMYpgz,2024-09-27 13:26:31.000000 UTC,,18779500,66623620045,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312024,ArmTwZo7tf8aFCkrJyHMJWqXntJa3sNU23P9FCqtu1P9,2024-09-27 13:26:36.000000 UTC,,40601654,134977283035,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,Fee
292312029,83FRpzjrpHhsE1qCSKc472GsRv7auphK9ZzYqM6hoNJa,2024-09-27 13:26:37.000000 UTC,,26553932,66684129892,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312034,84F6Pu4AGo6zLFKvzFUuuzqGS61euC2rXmv2KCcST9ja,2024-09-27 13:26:39.000000 UTC,,87474831,66822571791,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312038,BGV4mkEXqoCPvRzWQ6iXX5WdViu1gCuy1iGs7kBYMCsE,2024-09-27 13:26:41.000000 UTC,,36989737,1819136184657,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Fee
292312044,G8fjuBjJYatErBxru9QbzdcpUpNUjf3geJnrqyGw6xsn,2024-09-27 13:26:43.000000 UTC,,17417703,103122596487,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,Fee
292312047,A9myYLr5zXC37Zw1WkFR4gkqpp2L3CWuVFYWA9TrBK2c,2024-09-27 13:26:44.000000 UTC,,41316306,103208146059,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,Fee
