No,Uraian Komoditi,Satuan/ Unit,2021
1,Mas,Ton,  8.295 
2,Tawes / Gabus,Ton,  1.821 
3,Tilapia Mujair,Ton,  - 
4,Sepat Siam / Nila,Ton,  160.528 
5,Tambakan / Biawan,Ton,  - 
,Lele,ton,"  1,601.919 "
,Gurame,ton,  54.197 
,Patin,ton,  44.271 
